date,PM25
9/27/10,-955.5
9/28/10,-999
9/29/10,-999
9/30/10,-796.4166667
10/1/10,220.875
10/2/10,28.54166667
10/3/10,9.875
10/4/10,27.70833333
10/5/10,82.125
10/6/10,281.2916667
10/7/10,373.9166667
10/8/10,362.5
10/9/10,363.25
10/10/10,371.2083333
10/11/10,10.58333333
10/12/10,-29.66666667
10/13/10,110.9583333
10/14/10,15.125
10/15/10,43.16666667
10/16/10,72.58333333
10/17/10,48.125
10/18/10,66.125
10/19/10,73.375
10/20/10,82.41666667
10/21/10,128.375
10/22/10,168.6666667
10/23/10,220.125
10/24/10,91.04166667
10/25/10,10.95833333
10/26/10,14.41666667
10/27/10,92.5
10/28/10,71.91666667
10/29/10,52.33333333
10/30/10,52.75
10/31/10,72
11/1/10,-644.1666667
11/2/10,-999
11/3/10,-536.4583333
11/4/10,66.5
11/5/10,105.4166667
11/6/10,280.5833333
11/7/10,50.70833333
11/8/10,13
11/9/10,64.45833333
11/10/10,133.3333333
11/11/10,67.20833333
11/12/10,67.45833333
11/13/10,16
11/14/10,21.70833333
11/15/10,59.41666667
11/16/10,143.0416667
11/17/10,330.875
11/18/10,385.0833333
11/19/10,366.9583333
11/20/10,295.7083333
11/21/10,119.4583333
11/22/10,-10.58333333
11/23/10,232.0416667
11/24/10,61.75
11/25/10,71.875
11/26/10,112.5416667
11/27/10,27.83333333
11/28/10,187.9166667
11/29/10,181.7916667
11/30/10,225.1666667
12/1/10,258.0833333
12/2/10,72.875
12/3/10,82.16666667
12/4/10,172.7083333
12/5/10,65.5
12/6/10,19.95833333
12/7/10,58.33333333
12/8/10,40.375
12/9/10,198.7083333
12/10/10,95.5
12/11/10,49.58333333
12/12/10,116.75
12/13/10,15.66666667
12/14/10,17.125
12/15/10,22.79166667
12/16/10,55.66666667
12/17/10,121.625
12/18/10,278.1666667
12/19/10,137.8333333
12/20/10,210.6666667
12/21/10,441.5
12/22/10,121.7916667
12/23/10,24.08333333
12/24/10,47.75
12/25/10,56.75
12/26/10,47.20833333
12/27/10,77
12/28/10,30.54166667
12/29/10,34.29166667
12/30/10,17.70833333
12/31/10,-23.79166667
1/1/11,-955.875
1/2/11,37.875
1/3/11,169.2916667
1/4/11,82.79166667
1/5/11,19.625
1/6/11,16.08333333
1/7/11,50.91666667
1/8/11,-326.4583333
1/9/11,-999
1/10/11,-593.2916667
1/11/11,24.5
1/12/11,66.91666667
1/13/11,121.5
1/14/11,16.91666667
1/15/11,16.875
1/16/11,39.33333333
1/17/11,33.91666667
1/18/11,20.625
1/19/11,20.54166667
1/20/11,43.20833333
1/21/11,74.45833333
1/22/11,48.79166667
1/23/11,14.41666667
1/24/11,48.45833333
1/25/11,31.16666667
1/26/11,71.45833333
1/27/11,27.875
1/28/11,17
1/29/11,12.66666667
1/30/11,21.20833333
1/31/11,29.16666667
2/1/11,37.20833333
2/2/11,52.91666667
2/3/11,110.2083333
2/4/11,120.4583333
2/5/11,120.625
2/6/11,48.75
2/7/11,146.4166667
2/8/11,93.29166667
2/9/11,124.6666667
2/10/11,68.16666667
2/11/11,58.04166667
2/12/11,29.375
2/13/11,72
2/14/11,36.91666667
2/15/11,211.9166667
2/16/11,267.1666667
2/17/11,214.5
2/18/11,186.4583333
2/19/11,190.25
2/20/11,359.4166667
2/21/11,492.75
2/22/11,397.2916667
2/23/11,417.4583333
2/24/11,128.3333333
2/25/11,70.375
2/26/11,79.70833333
2/27/11,54.375
2/28/11,19.08333333
3/1/11,23.375
3/2/11,25.5
3/3/11,17.125
3/4/11,60.45833333
3/5/11,96.375
3/6/11,-196.9166667
3/7/11,-107.9583333
3/8/11,-25.625
3/9/11,22.75
3/10/11,47.95833333
3/11/11,101.9166667
3/12/11,280.375
3/13/11,159.75
3/14/11,15.04166667
3/15/11,16.04166667
3/16/11,42.04166667
3/17/11,-72.04166667
3/18/11,-999
3/19/11,-999
3/20/11,-999
3/21/11,-616.6666667
3/22/11,17.95833333
3/23/11,-21.25
3/24/11,10.375
3/25/11,22.20833333
3/26/11,61
3/27/11,23.66666667
3/28/11,46.75
3/29/11,80.08333333
3/30/11,-80.58333333
3/31/11,-539.9166667
4/1/11,-5.5
4/2/11,62.54166667
4/3/11,-56.83333333
4/4/11,129.375
4/5/11,210.75
4/6/11,-574.25
4/7/11,-999
4/8/11,-825.875
4/9/11,-404.375
4/10/11,-22.125
4/11/11,21.45833333
4/12/11,107.8333333
4/13/11,166.7916667
4/14/11,-299.7916667
4/15/11,-784.9583333
4/16/11,-590
4/17/11,16.16666667
4/18/11,18.125
4/19/11,77.58333333
4/20/11,146.2083333
4/21/11,-389.75
4/22/11,-738.5833333
4/23/11,-661.625
4/24/11,-24.125
4/25/11,111.8333333
